x,y
San Luis Obispo County,CA, 34, 82
San Mateo County,CA, 19, 98
Santa Barbara County,CA, 37, 76
Santa Clara County,CA, 24, 96
Santa Cruz County,CA, 21, 95
Shasta County,CA, 21,125
Sierra County,CA, 33,115
Siskiyou County,CA, 17,131
Solano County,CA, 22,105
Sonoma County,CA, 14,107
Stanislaus County,CA, 30, 99
Sutter County,CA, 24,111
Tehama County,CA, 20,120
Trinity County,CA, 13,124
Tulare County,CA, 47, 88
Tuolumne County,CA, 38,103
Ventura County,CA, 45, 74
Yolo County,CA, 22,108
Yuba County,CA, 27,113
Adams County,CO,163,117
Alamosa County,CO,151, 99
Arapahoe County,CO,163,116
Archuleta County,CO,141, 96
Baca County,CO,177, 97
Bent County,CO,173,102
Boulder County,CO,155,119
Broomfield County,CO,158,119
Chaffee County,CO,148,108
Cheyenne County,CO,177,109
Clear Creek County,CO,152,116
Conejos County,CO,148, 96
Costilla County,CO,154, 97
Crowley County,CO,167,105
Custer County,CO,155,103
Delta County,CO,135,109
Denver County,CO,158,117
Dolores County,CO,129,101
Douglas County,CO,158,113
Eagle County,CO,144,116
Elbert County,CO,164,113
El Paso County,CO,161,109
Fremont County,CO,154,106
Garfield County,CO,134,115
Gilpin County,CO,153,117
Grand County,CO,149,119
Gunnison County,CO,141,108
Hinsdale County,CO,139,101
Huerfano County,CO,158,100
Jackson County,CO,147,124
Jefferson County,CO,155,115
Kiowa County,CO,176,106
Kit Carson County,CO,177,113
Lake County,CO,147,112
La Plata County,CO,135, 97
Larimer County,CO,154,124
Las Animas County,CO,165, 97
Lincoln County,CO,169,110
Logan County,CO,173,124
Mesa County,CO,130,111
Mineral County,CO,142,100
Moffat County,CO,132,123
Montezuma County,CO,129, 97
Montrose County,CO,131,106
Morgan County,CO,167,121
Otero County,CO,168,102
Ouray County,CO,135,104
Park County,CO,152,111
Phillips County,CO,179,123
Pitkin County,CO,142,112
Prowers County,CO,178,102
Pueblo County,CO,161,104
Rio Blanco County,CO,132,118
Rio Grande County,CO,146, 99
Routt County,CO,142,122
Saguache County,CO,147,103
San Juan County,CO,136,101
San Miguel County,CO,130,103
Sedgwick County,CO,179,126
Summit County,CO,149,116
Teller County,CO,156,110
Washington County,CO,172,118
Weld County,CO,162,123
Yuma County,CO,178,119
Fairfield County,CT,410,129
Hartford County,CT,416,133
Litchfield County,CT,412,133
Middlesex County,CT,417,130
New Haven County,CT,414,130
New London County,CT,421,130
Tolland County,CT,419,133
Windham County,CT,422,133
Kent County,DE,393,111
New Castle County,DE,392,115
Sussex County,DE,394,108
District of Columbia,DC,381,110
Alachua County,FL,339, 36
Baker County,FL,339, 41
Bay County,FL,313, 41
Bradford County,FL,340, 38
Brevard County,FL,352, 24
Broward County,FL,354,  8
Calhoun County,FL,316, 42
Charlotte County,FL,343, 14
Citrus County,FL,338, 29
Clay County,FL,343, 38
Collier County,FL,347,  7
Columbia County,FL,337, 40
DeSoto County,FL,343, 16
Dixie County,FL,332, 35
Duval County,FL,343, 41
Escambia County,FL,298, 44
Flagler County,FL,348, 35
Franklin County,FL,319, 38
Gadsden County,FL,321, 43
Gilchrist County,FL,335, 36
Glades County,FL,348, 14
Gulf County,FL,316, 38
Hamilton County,FL,334, 42
Hardee County,FL,343, 18
Hendry County,FL,348, 11
Hernando County,FL,338, 27
Highlands County,FL,347, 17
Hillsborough County,FL,339, 22
