x,y
USC00010008,AL,316, 51
USC00010140,AL,298, 56
USC00010160,AL,310, 62
USC00010184,AL,291, 64
USC00010505,AL,299, 66
USC00010583,AL,295, 46
USC00010764,AL,301, 66
USC00011080,AL,301, 48
USC00011084,AL,301, 47
USC00011620,AL,307, 65
USC00011810,AL,292, 53
USC00012245,AL,294, 59
USC00012758,AL,302, 50
USC00012813,AL,295, 43
USC00013160,AL,292, 61
USC00013251,AL,311, 47
USC00013511,AL,297, 60
USC00013519,AL,305, 53
USC00013645,AL,294, 71
USC00013761,AL,315, 49
USC00013775,AL,313, 68
USC00013930,AL,298, 65
USC00014274,AL,303, 57
USC00015121,AL,300, 58
USC00015420,AL,298, 55
USC00015635,AL,299, 74
USC00016246,AL,304, 68
USC00016436,AL,302, 54
USC00016478,AL,304, 68
USC00016847,AL,293, 66
USC00017366,AL,301, 58
USC00017999,AL,308, 64
USC00018038,AL,308, 58
USC00018178,AL,296, 54
USC00018380,AL,297, 64
USC00018385,AL,297, 64
USC00018438,AL,312, 55
USC00018469,AL,313, 75
USC00018673,AL,295, 61
USC00018809,AL,300, 63
USC00018859,AL,308, 59
USC00018998,AL,295, 70
USC00020100,AZ, 89, 72
USC00020808,AZ,119, 66
USC00020949,AZ, 85, 70
USC00020958,AZ,122, 57
USC00021050,AZ, 81, 80
USC00021314,AZ,105, 62
USC00021330,AZ,114, 57
USC00021920,AZ, 94, 94
USC00022109,AZ,100, 73
USC00022754,AZ,125, 60
USC00023150,AZ,118, 63
USC00023190,AZ,104, 67
USC00023393,AZ, 96, 62
USC00023448,AZ,107, 71
USC00024182,AZ,104, 70
USC00024702,AZ, 86, 65
USC00024829,AZ,100, 65
USC00025270,AZ,101, 63
USC00025412,AZ,119, 71
USC00025418,AZ,120, 51
USC00025635,AZ,103, 75
USC00025924,AZ,110, 50
USC00026119,AZ,112, 59
USC00026282,AZ,111, 51
USC00026471,AZ,101, 88
USC00026601,AZ,118, 71
USC00026796,AZ, 98, 75
USC00027036,AZ,114, 58
USC00027281,AZ,108, 68
USC00027334,AZ,122, 53
USC00027390,AZ,120, 61
USC00027530,AZ,112, 59
USC00027708,AZ,103, 78
USC00027716,AZ, 94, 81
USC00027855,AZ,117, 73
USC00028012,AZ,117, 75
USC00028214,AZ,105, 67
USC00028396,AZ, 86, 60
USC00028499,AZ,102, 66
USC00028598,AZ,100, 66
USC00028619,AZ,117, 52
