x,y
USC00010160,AL,310, 62
USC00010402,AL,298, 48
USC00010583,AL,295, 46
USC00010655,AL,302, 76
USC00010764,AL,301, 66
USC00011080,AL,301, 48
USC00011099,AL,311, 78
USC00011620,AL,307, 65
USC00012172,AL,292, 42
USC00012813,AL,295, 43
USC00013154,AL,310, 71
USC00013160,AL,292, 61
USC00013519,AL,305, 53
USC00013620,AL,296, 72
USC00013645,AL,294, 71
USC00013816,AL,307, 54
USC00015635,AL,299, 74
USC00016478,AL,304, 68
USC00016988,AL,296, 43
USC00017207,AL,310, 73
USC00017999,AL,308, 64
USC00018024,AL,308, 66
USC00018178,AL,296, 54
USC00018209,AL,304, 62
USC00018380,AL,297, 64
USC00018438,AL,312, 55
USC00018469,AL,313, 75
USC00020100,AZ, 89, 72
USC00020287,AZ,106, 54
USC00020750,AZ,113, 92
USC00020949,AZ, 85, 70
USC00020958,AZ,122, 57
USC00021050,AZ, 81, 80
USC00021231,AZ,113, 51
USC00021248,AZ,121, 88
USC00021314,AZ,105, 62
USC00021330,AZ,114, 57
USC00021353,AZ, 99, 70
USC00022109,AZ,100, 73
USC00022140,AZ,115, 49
USC00022754,AZ,125, 60
USC00023150,AZ,118, 63
USC00023160,AZ,104, 81
USC00023190,AZ,104, 67
USC00023393,AZ, 96, 62
USC00023596,AZ,100, 87
USC00024089,AZ,116, 78
USC00024453,AZ,101, 77
USC00024702,AZ, 86, 65
USC00025270,AZ,101, 63
USC00025412,AZ,119, 71
USC00025635,AZ,103, 75
USC00025924,AZ,110, 50
USC00026132,AZ, 95, 54
USC00026180,AZ,106, 94
USC00026468,AZ,118, 77
USC00026471,AZ,101, 88
USC00026616,AZ, 96, 93
USC00026716,AZ,124, 54
USC00027281,AZ,108, 68
USC00027390,AZ,120, 61
USC00027435,AZ,122, 75
USC00027716,AZ, 94, 81
USC00027855,AZ,117, 73
USC00028012,AZ,117, 75
USC00028329,AZ,105, 81
USC00028396,AZ, 86, 60
USC00028619,AZ,117, 52
USC00028815,AZ,110, 56
USC00028865,AZ,109, 51
USC00029158,AZ, 95, 78
USC00029287,AZ, 96, 70
USC00029334,AZ,119, 57
USC00029359,AZ,100, 80
USC00029542,AZ,107, 83
USC00029634,AZ, 99, 67
USC00029645,AZ, 84, 78
USC00030064,AR,269, 86
USC00030130,AR,255, 77
USC00030240,AR,267, 71
USC00030458,AR,263, 85
USC00030536,AR,269, 82
USC00030798,AR,248, 79
USC00030806,AR,278, 86
USC00030832,AR,246, 79
USC00031132,AR,260, 87
USC00031152,AR,255, 67
USC00031632,AR,273, 90
USC00031730,AR,262, 63
USC00031838,AR,252, 80
USC00031900,AR,252, 85
USC00031948,AR,243, 71
USC00031962,AR,266, 67
USC00032148,AR,265, 70
USC00032355,AR,267, 63
USC00032540,AR,258, 69
USC00032794,AR,256, 86
USC00032930,AR,242, 90
USC00032978,AR,262, 83
USC00033428,AR,249, 68
USC00033466,AR,253, 75
