code,lat,lon,state,name,x,y
USC00028796,32.2817,-110.944,710.2,AZ,TUCSON CAMP AVE EXP,110,57
USC00028817,32.2581,-111.005,705.6,AZ,TUCSON U OF A 1,109,57
USC00028904,34.7706,-112.026,1057.7,AZ,TUZIGOOT,101,77
USC00029158,34.9281,-112.81,1551.4,AZ,WALNUT CREEK,95,78
USC00029166,34.3117,-112.562,1147.3,AZ,WALNUT GROVE,97,73
USC00029287,33.9792,-112.74,638.6,AZ,WICKENBURG,96,70
USC00029334,32.2553,-109.837,1271,AZ,WILLCOX,119,57
USC00029359,35.2406,-112.19,2057.4,AZ,WILLIAMS,100,80
USC00029634,33.595,-112.301,345.9,AZ,YOUNGTOWN,99,67
USC00029645,34.8775,-114.134,594.4,AZ,YUCCA 1 NNE,84,78
USC00030130,34.7961,-92.8417,212.8,AR,ALUM FORK,255,77
USC00030150,34.2808,-93.4614,140.2,AR,AMITY 1N,250,73
USC00030234,33.6061,-91.2186,44.2,AR,ARKANSAS CITY,268,67
USC00030286,33.6194,-94.0994,97.5,AR,ASHDOWN 4 SSE,245,67
USC00030300,34.3253,-93.9811,292.6,AR,ATHENS,246,73
USC00030326,35.2894,-91.3533,59.4,AR,AUGUSTA,267,81
USC00030458,35.8306,-91.7944,174,AR,BATESVILLE LVSTK,263,85
USC00030460,35.76,-91.6389,88.4,AR,BATESVILLE L&D 1,264,85
USC00030664,34.4619,-93.9983,365.8,AR,BIG FORK 1 SSE,246,74
USC00030746,36.1067,-91.1039,73.2,AR,BLACK ROCK,269,87
USC00030798,35.1161,-93.6506,129.8,AR,BLUE MTN DAM,248,79
USC00030806,35.9239,-89.9044,76.8,AR,BLYTHEVILLE,278,86
USC00030832,35.0931,-93.9258,182.9,AR,BOONEVILLE 3 SSE,246,79
USC00030936,34.8822,-91.2153,56.4,AR,BRINKLEY,268,78
USC00031152,33.59,-92.8236,35.4,AR,CAMDEN 1,255,67
USC00031632,36.4197,-90.5858,91.4,AR,CORNING,273,90
USC00031666,34.4314,-94.4175,323.1,AR,COVE,242,74
USC00031750,34.6886,-92.45,108.2,AR,CRYSTAL VALLEY,258,76
USC00031829,35.4033,-92.3828,207.3,AR,DAMASCUS 2 NNE,258,82
USC00031834,35.0375,-93.3947,114.3,AR,DANVILLE,250,79
USC00031900,35.8272,-93.2044,723.9,AR,DEER,252,85
USC00031948,34.0464,-94.3481,124.1,AR,DEQUEEN,243,71
USC00031962,33.5597,-91.385,44.2,AR,DERMOTT 3 NE,266,67
USC00032015,34.1267,-94.0172,143.3,AR,DIERKS,245,72
USC00032148,33.8847,-91.5317,49.7,AR,DUMAS,265,70
USC00032355,33.1144,-91.2628,41.1,AR,EUDORA,267,63
USC00032540,33.8228,-92.3989,70.1,AR,FORDYCE,258,69
USC00032842,34.3217,-93.5617,178.3,AR,GLENWOOD,249,73
USC00032922,34.8758,-93.6761,140.5,AR,GRAVELLY 1 ESE,248,78
USC00032930,36.4261,-94.4481,384,AR,GRAVETTE,242,90
USC00033428,33.7089,-93.5561,114.3,AR,HOPE 3 NE,249,68
USC00033438,34.3608,-93.6817,219.5,AR,HOPPER,248,73
USC00033442,33.935,-94.3586,102.7,AR,HORATIO,243,70
USC00033466,34.5128,-93.0486,190.8,AR,HOT SPRINGS 1 NNE,253,75
USC00033821,35.6872,-90.0964,70.7,AR,KEISER,277,84
USC00033862,34.6033,-91.9928,70.4,AR,KEO,262,75
USC00034010,34.8511,-92.4889,93,AR,LAKE MAUMELLE,258,77
USC00034548,33.295,-93.2325,99.1,AR,MAGNOLIA,252,65
USC00034638,34.7392,-90.7664,71.3,AR,MARIANNA 2 S,271,76
USC00034746,36.0822,-91.9822,152.4,AR,MELBOURNE 5W,262,87
USC00034756,34.5731,-94.2494,344.4,AR,MENA,244,75
USC00034988,34.5408,-93.5878,212.4,AR,MT IDA 3 SE,249,75
USC00035036,36.3458,-92.3939,243.8,AR,MTN HOME 1 NNW,258,89
USC00035112,33.9294,-93.8583,121.9,AR,NASHVILLE,247,70
USC00035186,35.6042,-91.2744,69.5,AR,NEWPORT,267,83
USC00035354,35.7803,-94.4161,457.2,AR,ODELL 2 N,242,85
USC00035358,34.6008,-93.7667,243.8,AR,ODEN 1 SE,247,75
USC00035563,36.0336,-90.4978,82.3,AR,PARAGOULD 1S,274,87
USC00035591,34.7844,-93.9786,184.7,AR,PARKS,246,77
USC00035691,35.0442,-92.7956,91.4,AR,PERRY,255,79
USC00035754,34.2256,-92.0189,65.5,AR,PINE BLUFF,261,72
USC00035760,34.5833,-93.9011,256,AR,PINE RIDGE,246,75
USC00035908,33.8203,-93.3878,93.9,AR,PRESCOTT 2 NNW,250,69
USC00036008,35.305,-93.8767,141.1,AR,RATCLIFF,246,81
USC00036403,36.3561,-91.8036,207.3,AR,SALEM,263,89
USC00036506,35.2683,-91.7164,70.1,AR,SEARCY,264,81
USC00036562,34.3019,-92.3914,76.2,AR,SHERIDAN,258,73
USC00036918,34.4764,-91.5381,68,AR,STUTTGART,265,74
USC00036920,34.4744,-91.4172,60.4,AR,STUTTGART 9 ESE,266,74
USC00036928,35.3028,-93.6369,152.4,AR,SUBIACO,248,81
USC00037582,33.6044,-92.0997,64,AR,WARREN 2 WSW,261,67
USC00040212,38.5731,-122.441,522.7,CA,ANGWIN PAC UNION COL,18,107
USC00040379,37.0919,-119.513,637,CA,AUBERRY 2 NW,41,95
USC00040521,34.8928,-117.022,676.7,CA,BARSTOW,61,78
USC00040673,37.0856,-122.08,128,CA,BEN LOMOND 4,21,95
USC00040983,33.2314,-116.414,245.4,CA,BORREGO DESERT PARK,66,64
USC00041149,40.8669,-121.846,1158.2,CA,BUCKHORN,23,125
USC00041244,35.4047,-119.473,82,CA,BUTTONWILLOW,42,82
USC00041253,34.5825,-119.982,238.7,CA,CACHUMA LAKE,38,75
USC00041288,32.6881,-115.464,3.7,CA,CALEXICO 2 NE,74,60
USC00041316,41.3111,-122.804,970.8,CA,CALLAHAN,15,129
USC00041428,38.2486,-120.843,200.6,CA,CAMP PARDEE,31,104
USC00041497,40.1703,-121.088,1389.9,CA,CANYON DAM,29,120
USC00041614,41.5306,-120.18,1408.5,CA,CEDARVILLE,36,131
USC00041864,36.1356,-120.361,204.2,CA,COALINGA,35,88
USC00041907,40.4,-122.143,128,CA,COLEMAN FISHERIES STN,20,122
USC00041912,39.0911,-120.948,725.4,CA,COLFAX,30,111
USC00041916,39.3308,-121.192,181.4,CA,COLGATE PH,28,113
USC00041990,41.9797,-122.338,823.9,CA,COPCO 1 DAM,19,134
USC00042012,36.0975,-119.582,61,CA,CORCORAN IRRIG DIST,41,87
USC00042081,39.8158,-123.244,430.7,CA,COVELO,12,117
USC00042239,32.9897,-116.587,1414.3,CA,CUYAMACA,65,62
USC00042294,38.535,-121.776,18.3,CA,DAVIS 2 WSW EXP FARM,23,107
USC00042319,36.4622,-116.867,-59.1,CA,DEATH VALLEY,63,90
USC00042346,35.7683,-119.26,92,CA,DELANO,43,85
USC00042500,39.5633,-120.824,888.5,CA,DOWNIEVILLE,31,115
USC00042504,40.0244,-120.104,1292.4,CA,DOYLE,37,119
USC00042506,39.9717,-120.083,1338.1,CA,DOYLE 4 SSE,37,118
USC00042598,33.8089,-115.451,296.6,CA,EAGLE MTN,74,69
USC00042713,32.7669,-115.562,-9.1,CA,EL CENTRO 2 SSW,73,61
USC00042771,34.5892,-117.63,899.2,CA,EL MIRAGE,56,75
USC00042920,37.585,-120.267,134.7,CA,EXCHEQUER DAM,35,99
USC00042934,38.2736,-122.068,12.2,CA,FAIRFIELD,21,105
USC00043038,38.5236,-120.706,658.4,CA,FIDDLETOWN DEXTER RCH,32,107
USC00043261,36.9969,-119.707,125,CA,FRIANT GOVERNMENT CAMP,40,94
USC00043357,41.8453,-123.965,118,CA,GASQUET RS,6,133
USC00043463,35.7269,-118.701,957.1,CA,GLENNVILLE,48,84
USC00043491,39.165,-120.857,1011.9,CA,GOLD RUN 2 SW,31,112
USC00043573,39.2042,-121.068,731.5,CA,GRASS VALLEY 2,29,112
USC00043578,38.4306,-122.865,61,CA,GRATON,15,106
USC00043710,36.1389,-117.953,1165.9,CA,HAIWEE,54,88
USC00043747,36.3158,-119.637,72.2,CA,HANFORD 1 S,40,89
USC00043800,39.2372,-121.267,243.8,CA,HARRY L ENGLEBRIGHT DM,27,112
USC00043855,33.7044,-115.629,417.6,CA,HAYFIELD PUMPING PLT,72,68
USC00043875,38.6175,-122.873,32.9,CA,HEALDSBURG,15,107
USC00043896,33.7381,-116.894,552,CA,HEMET,62,68
USC00043914,33.2372,-116.761,823,CA,HENSHAW DAM,63,64
